Date,CBA,MQG
2/1/2013,73.134,38.539
3/1/2013,72.636,37.851
4/1/2013,72.188,38.235
7/1/2013,70.754,42.394
8/1/2013,71.362,43.368
9/1/2013,69.998,43.869
10/1/2013,70.924,44.332
11/1/2013,70.735,44.646
14/1/2013,70.267,45.207
15/1/2013,70.834,44.725
16/1/2013,71.78,45.6
17/1/2013,72.338,46.2
18/1/2013,72.517,44.135
21/1/2013,72.895,43.81
22/1/2013,73.174,44.882
23/1/2013,72.168,44.912
24/1/2013,71.392,44.843
25/1/2013,69.41,43.388
29/1/2013,68.474,41.854
30/1/2013,67.897,42.601
31/1/2013,68.305,42.552
1/2/2013,66.602,42.945
4/2/2013,67.319,42.483
5/2/2013,66.573,42.453
6/2/2013,66.632,40.968
7/2/2013,66.861,41.431
8/2/2013,65.965,40.074
11/2/2013,65.826,39.759
12/2/2013,64.74,39.661
13/2/2013,64.74,39.661
14/2/2013,65.119,40.959
15/2/2013,64.84,40.742
18/2/2013,65.487,40.241
19/2/2013,66.811,40.86
20/2/2013,68.176,42.06
21/2/2013,68.195,41.48
22/2/2013,68.066,42.375
25/2/2013,65.975,41.47
26/2/2013,65.776,41.126
27/2/2013,65.457,40.713
28/2/2013,65.836,39.552
1/3/2013,67.001,41.047
4/3/2013,68.863,40.959
5/3/2013,68.883,41.175
6/3/2013,67.24,39.828
7/3/2013,68.604,40.968
8/3/2013,68.235,39.729
11/3/2013,68.176,40.388
12/3/2013,68.693,41.263
13/3/2013,68.693,40.791
14/3/2013,69.838,42.788
15/3/2013,70.047,44.145
18/3/2013,71.103,44.253
19/3/2013,70.665,43.997
20/3/2013,70.944,44.41
21/3/2013,71.441,44.351
22/3/2013,70.904,43.594
25/3/2013,71.432,43.368
26/3/2013,71.153,43.329
27/3/2013,71.571,44.745
28/3/2013,72.079,45.561
2/4/2013,72.587,44.961
3/4/2013,73.204,43.909
4/4/2013,73.333,42.296
5/4/2013,73.542,41.942
8/4/2013,73.712,42.699
9/4/2013,73.891,43.161
10/4/2013,72.806,42.768
11/4/2013,73.503,44.45
12/4/2013,73.443,44.666
15/4/2013,73.214,44.273
16/4/2013,71.77,42.955
17/4/2013,72.686,43.722
18/4/2013,72.537,43.024
19/4/2013,73.503,42.719
22/4/2013,74.229,43.643
23/4/2013,73.413,43.889
24/4/2013,73.443,44.194
26/4/2013,72.985,43.683
29/4/2013,70.844,43.447
30/4/2013,69.968,43.073
1/5/2013,70.794,43.86
2/5/2013,70.954,43.122
3/5/2013,71.74,43.889
6/5/2013,72.268,44.105
7/5/2013,73.154,44.184
8/5/2013,71.939,42.798
9/5/2013,71.74,42.758
10/5/2013,72.527,43.132
13/5/2013,73.363,44.046
14/5/2013,73.234,43.919
15/5/2013,72.965,44.292
16/5/2013,72.606,44.745
17/5/2013,72.845,45.404
20/5/2013,73.313,45.089
21/5/2013,73.582,46.18
22/5/2013,73.821,47.744
23/5/2013,73.662,48.452
24/5/2013,73.503,47.99
27/5/2013,73.732,49.17
28/5/2013,73.284,49.013
29/5/2013,73.662,48.275
30/5/2013,73.483,49.17
31/5/2013,73.433,49.17
3/6/2013,73.194,48.305
4/6/2013,72.587,47.96
5/6/2013,72.527,48.246
6/6/2013,72.895,48.019
7/6/2013,72.845,48.088
11/6/2013,70.904,47.115
12/6/2013,71.043,47.193
13/6/2013,71.362,47.429
14/6/2013,71.392,48.246
17/6/2013,71.451,47.744
18/6/2013,70.446,46.859
19/6/2013,70.794,46.692
20/6/2013,70.715,46.338
21/6/2013,70.496,46.22
24/6/2013,72.009,47.252
25/6/2013,72.208,46.948
26/6/2013,72.696,48.088
27/6/2013,72.447,48.128
28/6/2013,73.114,48.619
1/7/2013,73.851,49.337
2/7/2013,74.229,50.153
3/7/2013,74.439,50.114
4/7/2013,74.289,49.829
5/7/2013,75.255,50.104
8/7/2013,75.952,50.35
9/7/2013,77.067,51.097
10/7/2013,76.46,50.93
11/7/2013,76.679,50.94
